Persona,Question,Response Options,Final Prompt
"Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir.","Şimdi soracaklarımdan her biri sizin için ne kadar önemlidir? Yani bunlar sizin için çok mu önemli, biraz mı önemli, pek önemli değil mi, yoksa hiç önemi yok mu? Aileniz","['Çok Önemli', 'Biraz Önemli', 'Pek Önemli Değil', 'Hiç Önemli Değil']","Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir.

Bu kişi aşağıdaki soruya ne cevap verir?
Şimdi soracaklarımdan her biri sizin için ne kadar önemlidir? Yani bunlar sizin için çok mu önemli, biraz mı önemli, pek önemli değil mi, yoksa hiç önemi yok mu? Aileniz

Cevap seçenekleri:
1. Çok Önemli
2. Biraz Önemli
3. Pek Önemli Değil
4. Hiç Önemli Değil

Yalnızca bir yanıt seçin (1, 2, 3, vb.):"
"Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir.","Şimdi soracaklarımdan her biri sizin için ne kadar önemlidir? Yani bunlar sizin için çok mu önemli, biraz mı önemli, pek önemli değil mi, yoksa hiç önemi yok mu? Dost ve arkadaşlarınız","['Çok Önemli', 'Biraz Önemli', 'Pek Önemli Değil', 'Hiç Önemli Değil']","Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir.

Bu kişi aşağıdaki soruya ne cevap verir?
Şimdi soracaklarımdan her biri sizin için ne kadar önemlidir? Yani bunlar sizin için çok mu önemli, biraz mı önemli, pek önemli değil mi, yoksa hiç önemi yok mu? Dost ve arkadaşlarınız

Cevap seçenekleri:
1. Çok Önemli
2. Biraz Önemli
3. Pek Önemli Değil
4. Hiç Önemli Değil

Yalnızca bir yanıt seçin (1, 2, 3, vb.):"
"Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir.","Şimdi soracaklarımdan her biri sizin için ne kadar önemlidir? Yani bunlar sizin için çok mu önemli, biraz mı önemli, pek önemli değil mi, yoksa hiç önemi yok mu? Kendiniz için ayırdığınız boş zaman","['Çok Önemli', 'Biraz Önemli', 'Pek Önemli Değil', 'Hiç Önemli Değil']","Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir.

Bu kişi aşağıdaki soruya ne cevap verir?
Şimdi soracaklarımdan her biri sizin için ne kadar önemlidir? Yani bunlar sizin için çok mu önemli, biraz mı önemli, pek önemli değil mi, yoksa hiç önemi yok mu? Kendiniz için ayırdığınız boş zaman

Cevap seçenekleri:
1. Çok Önemli
2. Biraz Önemli
3. Pek Önemli Değil
4. Hiç Önemli Değil

Yalnızca bir yanıt seçin (1, 2, 3, vb.):"
"Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir.","Şimdi soracaklarımdan her biri sizin için ne kadar önemlidir? Yani bunlar sizin için çok mu önemli, biraz mı önemli, pek önemli değil mi, yoksa hiç önemi yok mu? Siyaset","['Çok Önemli', 'Biraz Önemli', 'Pek Önemli Değil', 'Hiç Önemli Değil']","Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir.

Bu kişi aşağıdaki soruya ne cevap verir?
Şimdi soracaklarımdan her biri sizin için ne kadar önemlidir? Yani bunlar sizin için çok mu önemli, biraz mı önemli, pek önemli değil mi, yoksa hiç önemi yok mu? Siyaset

Cevap seçenekleri:
1. Çok Önemli
2. Biraz Önemli
3. Pek Önemli Değil
4. Hiç Önemli Değil

Yalnızca bir yanıt seçin (1, 2, 3, vb.):"
"Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir.","Şimdi soracaklarımdan her biri sizin için ne kadar önemlidir? Yani bunlar sizin için çok mu önemli, biraz mı önemli, pek önemli değil mi, yoksa hiç önemi yok mu? İş ve çalışma","['Çok Önemli', 'Biraz Önemli', 'Pek Önemli Değil', 'Hiç Önemli Değil']","Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir.

Bu kişi aşağıdaki soruya ne cevap verir?
Şimdi soracaklarımdan her biri sizin için ne kadar önemlidir? Yani bunlar sizin için çok mu önemli, biraz mı önemli, pek önemli değil mi, yoksa hiç önemi yok mu? İş ve çalışma

Cevap seçenekleri:
1. Çok Önemli
2. Biraz Önemli
3. Pek Önemli Değil
4. Hiç Önemli Değil

Yalnızca bir yanıt seçin (1, 2, 3, vb.):"
"Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir.","Şimdi soracaklarımdan her biri sizin için ne kadar önemlidir? Yani bunlar sizin için çok mu önemli, biraz mı önemli, pek önemli değil mi, yoksa hiç önemi yok mu? Din","['Çok Önemli', 'Biraz Önemli', 'Pek Önemli Değil', 'Hiç Önemli Değil']","Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir.

Bu kişi aşağıdaki soruya ne cevap verir?
Şimdi soracaklarımdan her biri sizin için ne kadar önemlidir? Yani bunlar sizin için çok mu önemli, biraz mı önemli, pek önemli değil mi, yoksa hiç önemi yok mu? Din

Cevap seçenekleri:
1. Çok Önemli
2. Biraz Önemli
3. Pek Önemli Değil
4. Hiç Önemli Değil

Yalnızca bir yanıt seçin (1, 2, 3, vb.):"
"Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir.",Şimdi size çocukların evde öğrenmelerini isteyebileceğiniz bazı hususlar sayacağım. Sizce bunlardan hangileri önem taşır. Bu tabloya bakarak LÜTFEN EN FAZLA BEŞ TANESİNİ belirtiniz. Terbiye,"['Belirtildi', 'Belirtilmedi']","Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir.

Bu kişi aşağıdaki soruya ne cevap verir?
Şimdi size çocukların evde öğrenmelerini isteyebileceğiniz bazı hususlar sayacağım. Sizce bunlardan hangileri önem taşır. Bu tabloya bakarak LÜTFEN EN FAZLA BEŞ TANESİNİ belirtiniz. Terbiye

Cevap seçenekleri:
1. Belirtildi
2. Belirtilmedi

Yalnızca bir yanıt seçin (1, 2, 3, vb.):"
"Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir.",Şimdi size çocukların evde öğrenmelerini isteyebileceğiniz bazı hususlar sayacağım. Sizce bunlardan hangileri önem taşır. Bu tabloya bakarak LÜTFEN EN FAZLA BEŞ TANESİNİ belirtiniz. Bağımsızlık,"['Belirtildi', 'Belirtilmedi']","Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir.

Bu kişi aşağıdaki soruya ne cevap verir?
Şimdi size çocukların evde öğrenmelerini isteyebileceğiniz bazı hususlar sayacağım. Sizce bunlardan hangileri önem taşır. Bu tabloya bakarak LÜTFEN EN FAZLA BEŞ TANESİNİ belirtiniz. Bağımsızlık

Cevap seçenekleri:
1. Belirtildi
2. Belirtilmedi

Yalnızca bir yanıt seçin (1, 2, 3, vb.):"
"Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir.",Şimdi size çocukların evde öğrenmelerini isteyebileceğiniz bazı hususlar sayacağım. Sizce bunlardan hangileri önem taşır. Bu tabloya bakarak LÜTFEN EN FAZLA BEŞ TANESİNİ belirtiniz. Çalışkanlık,"['Belirtildi', 'Belirtilmedi']","Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir.

Bu kişi aşağıdaki soruya ne cevap verir?
Şimdi size çocukların evde öğrenmelerini isteyebileceğiniz bazı hususlar sayacağım. Sizce bunlardan hangileri önem taşır. Bu tabloya bakarak LÜTFEN EN FAZLA BEŞ TANESİNİ belirtiniz. Çalışkanlık

Cevap seçenekleri:
1. Belirtildi
2. Belirtilmedi

Yalnızca bir yanıt seçin (1, 2, 3, vb.):"
"Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir.",Şimdi size çocukların evde öğrenmelerini isteyebileceğiniz bazı hususlar sayacağım. Sizce bunlardan hangileri önem taşır. Bu tabloya bakarak LÜTFEN EN FAZLA BEŞ TANESİNİ belirtiniz. Sorumluluk duygusu,"['Belirtildi', 'Belirtilmedi']","Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir.

Bu kişi aşağıdaki soruya ne cevap verir?
Şimdi size çocukların evde öğrenmelerini isteyebileceğiniz bazı hususlar sayacağım. Sizce bunlardan hangileri önem taşır. Bu tabloya bakarak LÜTFEN EN FAZLA BEŞ TANESİNİ belirtiniz. Sorumluluk duygusu

Cevap seçenekleri:
1. Belirtildi
2. Belirtilmedi

Yalnızca bir yanıt seçin (1, 2, 3, vb.):"
"Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir.",Şimdi size çocukların evde öğrenmelerini isteyebileceğiniz bazı hususlar sayacağım. Sizce bunlardan hangileri önem taşır. Bu tabloya bakarak LÜTFEN EN FAZLA BEŞ TANESİNİ belirtiniz. Hayalgücü,"['Belirtildi', 'Belirtilmedi']","Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir.

Bu kişi aşağıdaki soruya ne cevap verir?
Şimdi size çocukların evde öğrenmelerini isteyebileceğiniz bazı hususlar sayacağım. Sizce bunlardan hangileri önem taşır. Bu tabloya bakarak LÜTFEN EN FAZLA BEŞ TANESİNİ belirtiniz. Hayalgücü

Cevap seçenekleri:
1. Belirtildi
2. Belirtilmedi

Yalnızca bir yanıt seçin (1, 2, 3, vb.):"
"Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir.",Şimdi size çocukların evde öğrenmelerini isteyebileceğiniz bazı hususlar sayacağım. Sizce bunlardan hangileri önem taşır. Bu tabloya bakarak LÜTFEN EN FAZLA BEŞ TANESİNİ belirtiniz. Başka insanlara karşı saygı ve hoşgörü,"['Belirtildi', 'Belirtilmedi']","Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir.

Bu kişi aşağıdaki soruya ne cevap verir?
Şimdi size çocukların evde öğrenmelerini isteyebileceğiniz bazı hususlar sayacağım. Sizce bunlardan hangileri önem taşır. Bu tabloya bakarak LÜTFEN EN FAZLA BEŞ TANESİNİ belirtiniz. Başka insanlara karşı saygı ve hoşgörü

Cevap seçenekleri:
1. Belirtildi
2. Belirtilmedi

Yalnızca bir yanıt seçin (1, 2, 3, vb.):"
"Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir.","Şimdi size çocukların evde öğrenmelerini isteyebileceğiniz bazı hususlar sayacağım. Sizce bunlardan hangileri önem taşır. Bu tabloya bakarak LÜTFEN EN FAZLA BEŞ TANESİNİ belirtiniz. Tutumluluk, para ve malına özen","['Belirtildi', 'Belirtilmedi']","Ahmet, 24 yaşında bekâr bir erkek, çocuğu yok, hiç okula gitmemiş, Ankara şehrinde kent merkezinde yaşayan, kendi sosyal sınıfını alt sınıf olarak tanımlayan, işsiz/iş arayan birisidir.

Bu kişi aşağıdaki soruya ne cevap verir?
Şimdi size çocukların evde öğrenmelerini isteyebileceğiniz bazı hususlar sayacağım. Sizce bunlardan hangileri önem taşır. Bu tabloya bakarak LÜTFEN EN FAZLA BEŞ TANESİNİ belirtiniz. Tutumluluk, para ve malına özen

Cevap seçenekleri:
1. Belirtildi
2. Belirtilmedi

Yalnızca bir yanıt seçin (1, 2, 3, vb.):"
